country,c1,c2,u1,u2
Austria,1.9734015,0.47001684,7.021203,11.341855
Belgium,3.9022555,6.6204414,9.210664,10.634232
Bulgaria,-4.0055842,1.1055058,6.158312,8.040335
Czechia,-3.2483692,2.9149132,7.340003,7.9647813
Cyprus,-0.42201218,-2.5074742,5.448759,11.383394
Germany,3.1417556,1.8199303,7.6394057,11.036637
Denmark,3.3007834,2.897388,8.108605,10.943033
Estonia,-0.17524077,-1.4662302,5.7873,11.11045
Croatia,4.3170466,3.9248197,8.436734,10.871293
Finland,1.1458536,-0.8140088,6.4961233,11.5353565
France,1.4942957,5.9387155,8.960081,9.702884
Malta,2.1006343,-0.9151703,6.5044556,11.118216
Luxembourg,0.93841857,3.773907,8.025606,9.8417015
Lithuania,-1.9312186,-1.600515,5.7131996,11.752946
Latvia,-2.9201849,4.9598966,7.738921,8.711588
Italy,-1.5367925,3.4521773,8.422323,8.720434
Ireland,2.057275,2.1847196,7.49342,10.571079
Hungary,-3.5238223,4.452634,7.6320605,8.24573
Spain,-4.7742977,-0.54478616,6.1099052,8.520657
Netherlands,2.7463145,5.2925696,8.964445,10.199418
Poland,-5.320499,2.6667337,6.8096557,8.266033
Portugal,-1.5166447,4.8558307,8.265304,8.293583
Romania,-0.5493869,-0.52496845,6.04304,11.352189
Sweden,4.753421,1.7001534,7.975196,11.461385
Slovenia,0.0052161,5.437549,8.762398,9.2285185
Slovakia,-4.75822,1.6168642,6.5933166,8.017523
